channel_index,marker,horizontal_profile_hp_mad_ratio,horizontal_profile_hp_p99,horizontal_profile_hp_rms,vertical_profile_hp_mad_ratio,vertical_profile_hp_p99,vertical_profile_hp_rms,horizontal_tile_seam_ratio_512px,vertical_tile_seam_ratio_512px
0,Hoechst1,0.05062209442257881,1.5356148481369019,0.23604056239128113,0.0668003261089325,1.6443861722946167,0.24601560831069946,1.375038743019104,1.1259615421295166
1,MUC1,0.0,0.0,0.0,0.0,0.19426120817661285,0.1636049598455429,1.0,1.0
2,CD25,0.0,0.0,0.0,0.0,0.18940244615077972,0.15947787463665009,1.0,1.0
3,CDX2,0.20872922241687775,0.7348927855491638,0.15896454453468323,0.18654359877109528,0.7847174406051636,0.1798800230026245,1.5112498998641968,1.920027494430542
4,Synaptophysin,0.0,0.0,0.0,0.0,0.7065059542655945,0.19425754249095917,1.0,1.0
5,CD57,0.0,0.0,0.0,0.0,0.723724365234375,0.19844387471675873,1.0,1.0
6,NKG2G,0.39540839195251465,0.8583464622497559,0.20125232636928558,0.35385170578956604,0.9203842878341675,0.19985085725784302,1.3662478923797607,2.0494539737701416
7,Vimentin,0.0,0.0,0.0,0.0,0.18346914649009705,0.1544940024614334,1.0,1.0
8,CD4,0.0,0.0,0.0,0.0,0.18101471662521362,0.15240654349327087,1.0,1.0
9,CD19,0.44136303663253784,0.9117375016212463,0.25724273920059204,0.332571804523468,1.0248970985412598,0.32877179980278015,0.9408035278320312,1.959513545036316
10,CD7,0.0,0.0,0.0,0.0,0.08584330976009369,0.10351021587848663,1.0,1.0
11,CD11c,0.0,0.0,0.0,0.0,0.08566797524690628,0.10329878330230713,1.0,1.0
12,CD161,0.3937033712863922,1.2080847024917603,0.39782559871673584,0.1721508502960205,0.9096601605415344,0.29874712228775024,1.2157354354858398,130131.734375
13,CD15,0.0,0.0,0.0,0.0,0.07597916573286057,0.09161597490310669,1.0,1.0
14,CD34,0.0,0.0,0.0,0.0,0.08419341593980789,0.10152074694633484,1.0,1.0
15,CD16,0.38551217317581177,0.9559430480003357,0.26975175738334656,0.31049856543540955,0.8841142058372498,0.278491348028183,1.0713441371917725,2.1278951168060303
16,ITLN1,0.0,0.0,0.0,0.0,0.07465372234582901,0.09001775085926056,1.0,1.0
17,HLADR,0.0,0.0,0.0,0.0,0.08124306797981262,0.09796322137117386,1.0,1.0
18,CD123,0.1394762396812439,0.8808319568634033,0.1586107313632965,0.1271531581878662,0.7933545708656311,0.1633109748363495,1.392146110534668,1.0133129358291626
19,CD66,0.0,0.0,0.0,0.0,0.06917225569486618,0.0834081768989563,1.0,1.0
20,CD3,0.0,0.0,0.0,0.0,0.07120992243289948,0.08586521446704865,1.0,1.0
21,CD45RO,0.3257763981819153,0.9842586517333984,0.19924485683441162,0.2930328845977783,0.6898396015167236,0.16048753261566162,1.1293601989746094,1.3252239227294922
22,CD38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23,CD90,0.0,0.0,0.0,0.0,0.07532983273267746,0.09083300828933716,1.0,1.0
24,CK7,0.0,0.0,0.0,0.0,0.07644982635974884,0.09218350052833557,1.0,1.0
25,aSMA,0.0,2.1267378330230713,0.37973448634147644,0.0,0.0,0.0,68011.1953125,1.0
26,CD117,0.0,0.0,0.0,0.0,0.1067255511879921,0.08988354355096817,1.0,1.0
27,CD127,0.0,0.0,0.0,0.0,0.1360497921705246,0.1145569458603859,1.0,1.0
28,MUC2,0.0,0.0,0.0,0.0,0.07482538372278214,0.09021232277154922,1.0,1.0
29,CHGA,0.0,0.0,0.0,0.0,0.08041433990001678,0.09695058315992355,1.0,1.0
30,FAP,15517.234375,1.6800541877746582,0.38605624437332153,17606.138671875,0.9966236352920532,0.2673240900039673,119811.375,51641.14453125
31,CollagenIV,0.0,2.1591708660125732,0.4889669418334961,0.0,0.09593774378299713,0.11566618829965591,43845.3828125,1.0
32,CD21,0.0,0.0,0.0,0.0,0.08016965538263321,0.09665558487176895,1.0,1.0
33,BCL2,0.0,0.053089939057826996,0.06559759378433228,0.0,0.14016154408454895,0.11898116022348404,1.0,1.0
34,CD31,0.0,0.0,0.0,0.0,0.0823586955666542,0.0992947667837143,1.0,1.0
35,Ki67,0.0,0.0,0.0,0.0,0.13477835059165955,0.11507759243249893,1.0,1.0
36,SOX9,0.0,0.0,0.0,0.0,0.08029245585203171,0.09680364280939102,1.0,1.0
37,CD8,0.0,0.04073617607355118,0.05033336207270622,0.0,0.07549459487199783,0.09101913869380951,1.0,1.0
38,CD36,0.0,0.0,0.0,0.0,0.07875443994998932,0.09494934231042862,1.0,1.0
39,CD138,0.0,0.022726137191057205,0.028080273419618607,0.0,0.0741276815533638,0.08937114477157593,1.0,1.0
40,CD69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
41,CD49f,0.0,0.0,0.0,0.0,0.05874621123075485,0.07082666456699371,1.0,1.0
42,CD49a,0.0,3.218080997467041,0.7406940460205078,0.0,0.0,0.0,10143.326171875,1.0
43,CD68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
44,OLFM4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,Podoplanin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,CD45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
47,CD163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
48,CD44,0.0,2.386662721633911,0.49108195304870605,0.0,0.0,0.0,17378.376953125,1.0
49,CD56,0.0,1.6929508447647095,0.39194416999816895,0.0,0.0,0.0,26034.453125,1.0
50,Cytokeratin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
51,CD206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52,aDefensin5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
53,DRAQ5,0.14083363115787506,1.1032803058624268,0.2562357783317566,0.14229238033294678,0.9649499654769897,0.1779167205095291,2.8685009479522705,1.58466637134552
